transaction_date,buyer_first_name,buyer_last_name,buyer_location,buyer_date_of_birth,payment_method,quantity_purchased,product_code,sales_representative,gender
45410,Virginia,Bean,San Diego,37150,Debit Card,372,Pro09,Susan Dean,Other
45482,Emily,Smith,Los Angeles,21450,Debit Card,46,Pro02,Sara Robertson,Male
45315,Beth,Kennedy,Dallas,36190,Mobile Payment,150,Pro03,Katie Stanton,Other
45401,Cameron,Berger,San Jose,37721,Mobile Payment,242,Pro08,Susan Dean,Male
45438,Randy,Foster,San Jose,36821,Credit Card,437,Pro07,Katie Stanton,Other
45427,Kayla,James,Phoenix,32639,Debit Card,35,Pro09,Susan Dean,Male
45328,Marcia,Johnson,San Antonio,28992,Cash,364,Pro03,April Watkins,Other
45476,Tracy,Calderon,Los Angeles,27518,Debit Card,47,Pro09,April Watkins,Male
45447,Martin,Martin,Los Angeles,24937,Credit Card,56,Pro04,Elizabeth Guerrero,Other
45323,Judy,Anderson,San Antonio,38514,Credit Card,116,Pro07,Tracy Lee,Male
45388,Nicolas,Werner,Phoenix,21183,Cash,143,Pro05,Sara Robertson,Other
45400,Steven,Anderson,San Diego,20158,Credit Card,216,Pro05,Katie Stanton,Male
45405,Timothy,Jones,Houston,23060,Cash,391,Pro03,Susan Dean,Other
45308,Scott,Day,New York,26856,Debit Card,36,Pro05,Katie Stanton,Male
45471,Wesley,Horne,Phoenix,17996,Debit Card,161,Pro09,Susan Dean,Male
45319,Patricia,Reed,Houston,35412,Debit Card,481,Pro05,Susan Dean,Male
45375,Willie,Robertson,San Diego,18216,Debit Card,495,Pro09,Sara Robertson,Male
45333,Jason,Murray,San Diego,32465,Credit Card,81,Pro01,Katie Stanton,Male
45383,Rodney,Diaz,Los Angeles,33917,Debit Card,116,Pro01,Susan Dean,Male
45300,Emily,Bird,Chicago,20669,Mobile Payment,94,Pro02,Katie Stanton,Male
45426,Timothy,Pitts,San Diego,30424,Credit Card,401,Pro07,Susan Dean,Male
45392,Marcus,Dickson,Los Angeles,16545,Debit Card,308,Pro09,April Watkins,Male
45388,Beth,Parrish,San Diego,26682,Mobile Payment,405,Pro02,April Watkins,Male
45318,Marvin,Rivera,San Jose,21226,Debit Card,221,Pro10,Elizabeth Guerrero,Male
45391,Robert,Cooke,Philadelphia,17285,Credit Card,326,Pro01,Tracy Lee,Male
45309,Robert,Padilla,Philadelphia,27366,Credit Card,472,Pro07,Sara Robertson,Male
45322,Jeremy,Rios,Dallas,22412,Mobile Payment,216,Pro09,Katie Stanton,Male
45438,Zachary,Reed,San Antonio,31476,Credit Card,178,Pro06,Susan Dean,Male
45418,Joseph,Woodward,San Diego,30884,Credit Card,72,Pro05,Katie Stanton,Male
45502,Sharon,Yates,Philadelphia,32105,Credit Card,486,Pro10,Susan Dean,Male
45329,Melissa,Curtis,Houston,34490,Credit Card,292,Pro10,Susan Dean,Male
45473,Jacob,Kelly,New York,33412,Mobile Payment,313,Pro08,Sara Robertson,Male
45296,Mark,Williams,Phoenix,31309,Debit Card,224,Pro04,Katie Stanton,Male
45322,David,Gray,Phoenix,38291,Mobile Payment,340,Pro09,Susan Dean,Male
45453,Roger,Rodriguez,Dallas,34253,Debit Card,283,Pro04,Katie Stanton,Male
45321,Stephen,Mason,Los Angeles,26530,Mobile Payment,59,Pro05,Susan Dean,Male
45321,Brett,Johnson,San Diego,27299,Mobile Payment,258,Pro08,April Watkins,Male
45368,Michael,Hernandez,Dallas,32988,Debit Card,473,Pro07,April Watkins,Male
45446,Donna,Bailey,New York,24949,Cash,332,Pro03,Elizabeth Guerrero,Male
45317,Jennifer,Rodriguez,New York,32690,Credit Card,274,Pro02,Tracy Lee,Female
45460,Tammy,Shannon,Philadelphia,37923,Cash,113,Pro02,Sara Robertson,Male
45439,James,Nichols,Philadelphia,15967,Cash,464,Pro10,Katie Stanton,Male
45475,Juan,Porter,Chicago,33346,Mobile Payment,309,Pro09,Susan Dean,Male
45421,Christopher,Valencia,Los Angeles,21509,Cash,180,Pro09,Katie Stanton,Male
45303,Carlos,Gallegos,San Antonio,23768,Cash,71,Pro02,Susan Dean,Male
45324,Justin,Wilson,Philadelphia,35291,Credit Card,92,Pro04,Susan Dean,Male
45462,Pamela,Kramer,New York,25439,Debit Card,170,Pro02,Sara Robertson,Other
45427,Ethan,Ford,Chicago,35762,Debit Card,139,Pro03,Katie Stanton,Male
45361,Danny,Armstrong,Chicago,35063,Cash,150,Pro09,Susan Dean,Other
45417,Nathaniel,Williams,Dallas,21086,Mobile Payment,443,Pro07,Katie Stanton,Male
45304,Steven,Reynolds,Chicago,31907,Credit Card,39,Pro10,Susan Dean,Male
45319,Tracy,Schmidt,San Antonio,18192,Cash,376,Pro09,April Watkins,Other
45425,Ana,Wallace,Dallas,16883,Credit Card,150,Pro08,April Watkins,Male
45309,Gerald,Calhoun,Philadelphia,32141,Debit Card,326,Pro04,Elizabeth Guerrero,Other
45312,Karen,Kramer,Phoenix,24538,Mobile Payment,28,Pro09,Tracy Lee,Male
45312,Tammy,Smith,San Antonio,30133,Mobile Payment,444,Pro04,Sara Robertson,Other
45363,Andre,Lewis,Los Angeles,17143,Cash,122,Pro02,Katie Stanton,Other
45479,Logan,Miller,San Antonio,30437,Cash,171,Pro03,Susan Dean,Male
45334,Christina,Watts,Philadelphia,37589,Credit Card,66,Pro10,Katie Stanton,Other
45348,Richard,Mendoza,Phoenix,38312,Cash,56,Pro04,Susan Dean,Male
45334,Sabrina,Kramer,Los Angeles,17690,Mobile Payment,318,Pro10,Susan Dean,Other
45409,Karen,Fischer,Dallas,25049,Mobile Payment,402,Pro08,Sara Robertson,Male
45503,Michelle,Juarez,Los Angeles,33430,Debit Card,444,Pro07,Katie Stanton,Other
45381,Daniel,Roberson,San Diego,26446,Cash,357,Pro03,Susan Dean,Male
45464,Candace,Odonnell,San Jose,28447,Mobile Payment,329,Pro03,Katie Stanton,Other
45330,Danielle,Palmer,San Antonio,23311,Cash,332,Pro02,Susan Dean,Male
45475,Michael,Livingston,Philadelphia,26417,Credit Card,449,Pro04,April Watkins,Other
45482,Robert,Garcia,San Jose,21061,Mobile Payment,29,Pro01,April Watkins,Male
45479,Adrienne,Wilson,San Jose,23179,Cash,70,Pro04,Elizabeth Guerrero,Other
45303,Mark,Garcia,Chicago,27946,Mobile Payment,271,Pro06,Tracy Lee,Male
45446,Nicholas,Rogers,Philadelphia,18863,Cash,186,Pro03,Sara Robertson,Other
45330,Alexandra,Potter,Houston,33010,Debit Card,54,Pro07,Katie Stanton,Other
45419,Diana,Hall,Phoenix,37546,Mobile Payment,383,Pro10,Susan Dean,Male
45478,Dawn,Daniels,San Jose,30073,Credit Card,306,Pro06,Katie Stanton,Other
45412,George,Brown,San Antonio,20422,Cash,461,Pro01,Susan Dean,Other
45334,Marilyn,Cunningham,New York,21346,Debit Card,496,Pro05,Susan Dean,Male
45378,Samantha,Howard,Chicago,22658,Credit Card,42,Pro05,Sara Robertson,Other
45426,Nathan,Frazier,Los Angeles,37884,Credit Card,136,Pro10,Katie Stanton,Other
45302,Thomas,Richardson,Chicago,21791,Debit Card,340,Pro05,Susan Dean,Male
45423,Stephanie,Hawkins,Houston,22731,Debit Card,94,Pro05,Katie Stanton,Other
45309,Emma,Hoffman,San Diego,38728,Cash,266,Pro02,Susan Dean,Male
45491,Lisa,Austin,San Jose,38400,Debit Card,125,Pro06,April Watkins,Other
45442,Shannon,Thomas,Los Angeles,20074,Mobile Payment,203,Pro02,April Watkins,Male
45357,Luis,Sheppard,Phoenix,37815,Mobile Payment,82,Pro03,Elizabeth Guerrero,Other
45301,Sarah,May,Philadelphia,36132,Debit Card,430,Pro10,Tracy Lee,Male
45457,Andrea,Johns,San Antonio,30814,Mobile Payment,329,Pro03,Sara Robertson,Male
45439,Gary,Frazier,Houston,37779,Credit Card,463,Pro09,Katie Stanton,Male
45482,Charlotte,Mueller,Houston,34977,Cash,392,Pro05,Susan Dean,Male
45305,James,Carter,San Jose,32376,Credit Card,32,Pro10,Katie Stanton,Male
45465,Katie,Rogers,New York,32490,Debit Card,109,Pro05,Susan Dean,Male
45427,Stephanie,Love,Houston,32833,Cash,166,Pro05,Susan Dean,Male
45320,Caitlin,Thomas,San Antonio,36686,Cash,440,Pro04,Sara Robertson,Male
45498,Kathryn,Clark,New York,28076,Credit Card,82,Pro10,Katie Stanton,Male
45391,Brandon,Brown,San Antonio,29735,Mobile Payment,187,Pro01,Susan Dean,Male
45401,Anna,Hopkins,Los Angeles,16610,Credit Card,173,Pro08,Katie Stanton,Male
45412,Brian,Kelley,San Jose,18248,Cash,385,Pro05,Susan Dean,Male
45381,Tina,Collins,San Jose,33919,Debit Card,78,Pro02,April Watkins,Male
45376,Caitlyn,Sims,Phoenix,32366,Mobile Payment,166,Pro02,April Watkins,Male
45335,Maria,Hernandez,San Diego,34483,Cash,483,Pro10,Elizabeth Guerrero,Female
45351,Michael,Shaw,Chicago,36206,Credit Card,252,Pro09,Tracy Lee,Male
45423,Robert,Cooper,Houston,34352,Debit Card,145,Pro07,Sara Robertson,Male
45434,Justin,Weaver,Phoenix,30859,Debit Card,318,Pro08,Katie Stanton,Male
45447,Nicholas,Williams,Los Angeles,30099,Cash,169,Pro09,Susan Dean,Male
45303,Aaron,Young,San Jose,35229,Credit Card,277,Pro06,Katie Stanton,Male
45319,Jennifer,Williams,Houston,23194,Mobile Payment,225,Pro02,Susan Dean,Female
45449,Theresa,Duran,San Antonio,29484,Cash,456,Pro10,Susan Dean,Male
45344,Ronald,Romero,Dallas,24881,Credit Card,136,Pro06,Sara Robertson,Male
45403,Emily,Holden,New York,34304,Mobile Payment,266,Pro06,Katie Stanton,Male
45327,Ian,Knight,Chicago,23325,Mobile Payment,320,Pro04,Susan Dean,Male
45408,Oscar,Wright,Houston,32017,Mobile Payment,165,Pro01,Katie Stanton,Male
45404,Kim,Butler,Dallas,20937,Debit Card,247,Pro01,Susan Dean,Male
45464,Deborah,Sanchez,Houston,20081,Mobile Payment,360,Pro05,April Watkins,Male
45449,Sarah,Ray,Los Angeles,28592,Debit Card,182,Pro08,April Watkins,Male
45481,Justin,Perry,Dallas,22851,Credit Card,392,Pro10,Elizabeth Guerrero,Male
45308,Amber,Stafford,San Jose,35451,Debit Card,369,Pro06,Tracy Lee,Male
45359,Stacie,Cox,San Antonio,26569,Mobile Payment,346,Pro04,Sara Robertson,Other
45410,Randall,Medina,Houston,32088,Cash,25,Pro07,Katie Stanton,Male
45465,Daniel,Rojas,Houston,23144,Credit Card,110,Pro08,Susan Dean,Other
45300,Joseph,James,Phoenix,26522,Cash,226,Pro02,Katie Stanton,Other
45466,Jacob,White,Phoenix,28208,Debit Card,399,Pro09,Susan Dean,Other
45499,Brandon,Boone,New York,22140,Cash,156,Pro05,Susan Dean,Male
45433,Angela,Lewis,Phoenix,18575,Debit Card,417,Pro08,Sara Robertson,Other
45420,Karen,Farley,Chicago,24723,Mobile Payment,136,Pro05,Katie Stanton,Male
45483,Meagan,Roman,San Jose,34887,Credit Card,460,Pro02,Susan Dean,Other
45350,Jessica,Lucas,Chicago,16651,Debit Card,265,Pro10,Katie Stanton,Male
45322,Adam,Marshall,Los Angeles,15974,Cash,205,Pro09,Susan Dean,Other
45483,Kevin,Beltran,San Jose,26922,Mobile Payment,175,Pro01,April Watkins,Male
45334,Eric,Taylor,Houston,17261,Credit Card,59,Pro04,April Watkins,Other
45464,Sara,Brown,San Jose,24991,Credit Card,442,Pro01,Elizabeth Guerrero,Male
45449,Evan,Ruiz,New York,33510,Debit Card,271,Pro02,Tracy Lee,Other
45481,Gabriel,Friedman,Chicago,24020,Cash,104,Pro08,Sara Robertson,Male
45293,Rebecca,Larson,Philadelphia,22306,Credit Card,209,Pro02,Katie Stanton,Other
45349,Mandy,Lopez,Phoenix,22693,Credit Card,149,Pro03,Susan Dean,Other
45491,Lawrence,Jackson,New York,22815,Cash,316,Pro06,Katie Stanton,Male
45296,David,Barr,New York,30831,Debit Card,104,Pro01,Susan Dean,Other
45483,Jason,Johnson,Phoenix,28689,Mobile Payment,384,Pro03,Susan Dean,Male
45502,Vincent,Benson,Houston,18657,Mobile Payment,431,Pro10,Sara Robertson,Male
45429,Raymond,Wade,Philadelphia,21171,Credit Card,493,Pro09,Katie Stanton,Male
45355,William,Harper,San Antonio,28558,Credit Card,440,Pro10,Susan Dean,Male
45448,Brandon,Lopez,Chicago,38727,Mobile Payment,139,Pro09,Katie Stanton,Male
45415,Alex,Rosario,Chicago,17608,Mobile Payment,73,Pro02,Susan Dean,Male
45490,Melissa,Smith,San Diego,36767,Debit Card,216,Pro02,April Watkins,Male
45310,Morgan,Wilson,Phoenix,19359,Debit Card,490,Pro01,April Watkins,Male
45494,Tamara,Edwards,Phoenix,38402,Cash,485,Pro01,Elizabeth Guerrero,Male
45471,Luke,Phillips,Phoenix,23788,Debit Card,193,Pro05,Tracy Lee,Male
45311,Gregory,Martinez,Phoenix,36494,Cash,100,Pro10,Sara Robertson,Male
45302,Jason,Sullivan,Los Angeles,23341,Cash,323,Pro09,Katie Stanton,Male
45485,Linda,Garcia,Houston,20675,Mobile Payment,321,Pro08,Susan Dean,Female
45399,Heather,Cohen,San Jose,33580,Credit Card,436,Pro06,Katie Stanton,Male
45471,Audrey,Friedman,San Jose,37960,Mobile Payment,260,Pro08,Susan Dean,Male
45426,Lisa,Bishop,Los Angeles,38740,Debit Card,434,Pro07,Susan Dean,Male
45503,Justin,Weeks,Philadelphia,28970,Debit Card,500,Pro09,Sara Robertson,Male
45357,Jamie,Chandler,Phoenix,17824,Debit Card,385,Pro06,Katie Stanton,Male
45370,Ann,Todd,San Jose,21114,Debit Card,323,Pro06,Susan Dean,Male
45458,Megan,Walker,Dallas,17708,Mobile Payment,312,Pro04,Katie Stanton,Male
45442,Ashley,Brown,Philadelphia,26512,Credit Card,181,Pro03,Susan Dean,Male
45354,Mitchell,Garcia,Phoenix,24190,Debit Card,20,Pro10,April Watkins,Male
45408,Shannon,Cannon,Los Angeles,30112,Credit Card,245,Pro08,April Watkins,Male
45303,Brian,Lucas,Houston,25382,Mobile Payment,103,Pro03,Elizabeth Guerrero,Male
45476,Stephen,Nash,New York,37286,Debit Card,209,Pro03,Tracy Lee,Male
45475,Robert,Warren,Philadelphia,36486,Cash,157,Pro04,Sara Robertson,Male
45503,Paula,Moore,San Diego,34549,Mobile Payment,196,Pro10,Katie Stanton,Male
45449,Nina,Armstrong,San Jose,28526,Mobile Payment,381,Pro03,Susan Dean,Male
45490,James,Duran,Philadelphia,30505,Credit Card,188,Pro04,Katie Stanton,Male
45501,Christopher,Oconnor,Phoenix,20739,Mobile Payment,153,Pro05,Susan Dean,Male
45456,Jillian,Lopez,Dallas,19705,Credit Card,404,Pro08,Susan Dean,Male
45374,William,Skinner,New York,23336,Mobile Payment,263,Pro07,Sara Robertson,Male
45465,Maria,Holt,Chicago,16861,Debit Card,298,Pro07,Katie Stanton,Female
45318,Miranda,Bradford,San Antonio,27887,Debit Card,67,Pro06,Susan Dean,Male
45501,Laura,Parks,Houston,26256,Debit Card,78,Pro07,Katie Stanton,Male
45498,Linda,Gomez,Dallas,32793,Debit Card,69,Pro04,Susan Dean,Female
45409,Victoria,Rodriguez,Houston,30375,Mobile Payment,335,Pro10,April Watkins,Male
45478,Mary,Ramsey,Philadelphia,22217,Debit Card,165,Pro05,April Watkins,Female
45353,Patrick,Parker,San Antonio,28674,Debit Card,78,Pro09,Elizabeth Guerrero,Male
45456,John,Lynn,New York,34868,Cash,359,Pro02,Tracy Lee,Male
45486,Amanda,Coleman,Houston,35846,Credit Card,263,Pro09,Sara Robertson,Male
45481,Rita,Jacobs,Phoenix,29391,Debit Card,36,Pro09,Katie Stanton,Male
45465,Kathryn,Carey,Chicago,19545,Debit Card,120,Pro05,Susan Dean,Male
45302,William,Solis,San Jose,37363,Cash,471,Pro08,Katie Stanton,Male
45294,Lawrence,Cruz,Philadelphia,26417,Mobile Payment,75,Pro08,Susan Dean,Male
45484,Julian,Gutierrez,Chicago,28869,Credit Card,250,Pro02,Susan Dean,Male
45361,Stephanie,Doyle,Chicago,33559,Mobile Payment,77,Pro06,Sara Robertson,Male
45329,Timothy,Oconnor,Philadelphia,20187,Cash,263,Pro08,Katie Stanton,Male
45336,Rachel,Carson,Dallas,24152,Debit Card,409,Pro01,Susan Dean,Male
45310,David,Short,Phoenix,37810,Credit Card,473,Pro09,Katie Stanton,Male
45314,Keith,Hansen,Chicago,20223,Debit Card,243,Pro07,Susan Dean,Male
45322,Kelli,Bell,Dallas,38111,Mobile Payment,39,Pro06,April Watkins,Male
45458,Jared,Marsh,Philadelphia,17924,Mobile Payment,137,Pro10,April Watkins,Male
45477,Samuel,Nunez,Houston,30714,Cash,464,Pro06,Elizabeth Guerrero,Male
45499,Kenneth,Franklin,Dallas,32425,Cash,383,Pro03,Tracy Lee,Male
45388,Michael,Bryan,Los Angeles,25930,Mobile Payment,119,Pro05,Sara Robertson,Male
45417,Rachel,Turner,Phoenix,19535,Mobile Payment,209,Pro04,Katie Stanton,Male
45316,Zachary,Williams,Houston,21296,Debit Card,447,Pro05,Susan Dean,Male
45418,Jason,Harris,Los Angeles,30987,Cash,165,Pro09,Katie Stanton,Male
45295,George,Stevens,Philadelphia,34299,Credit Card,338,Pro10,Susan Dean,Male
45470,Jonathan,Cisneros,Houston,37757,Debit Card,49,Pro07,Susan Dean,Male
45479,Michael,Willis,New York,22375,Cash,459,Pro09,Sara Robertson,Male
45438,Paul,Williams,Houston,35346,Credit Card,219,Pro07,Katie Stanton,Male
45501,Sarah,Valdez,San Jose,20235,Mobile Payment,450,Pro05,Susan Dean,Male
45471,Robert,King,New York,26625,Credit Card,82,Pro04,Katie Stanton,Male
45328,Thomas,Carter,New York,20979,Debit Card,11,Pro06,Susan Dean,Male
45502,Paul,Smith,San Antonio,21819,Debit Card,376,Pro03,April Watkins,Male
45494,Tanya,Taylor,New York,36853,Mobile Payment,317,Pro05,April Watkins,Male
45419,James,Parker,Phoenix,35419,Credit Card,198,Pro02,Elizabeth Guerrero,Male
45401,Melissa,Walker,San Antonio,18839,Credit Card,284,Pro07,Tracy Lee,Male
45354,Rachel,Smith,San Diego,38461,Mobile Payment,284,Pro09,Sara Robertson,Male
45294,Daniel,Davenport,Dallas,19009,Cash,358,Pro02,Katie Stanton,Male
45298,Vickie,Hull,Dallas,38016,Mobile Payment,296,Pro01,Susan Dean,Male
45316,Chris,Long,New York,33960,Cash,230,Pro05,Katie Stanton,Male
45294,Kevin,Santiago,San Jose,22149,Mobile Payment,379,Pro09,Susan Dean,Male
45407,Robert,Bell,San Antonio,20411,Debit Card,177,Pro02,Susan Dean,Male
45434,Laura,Vasquez,New York,37809,Mobile Payment,62,Pro02,Sara Robertson,Male
45338,Michelle,Baker,Dallas,18001,Debit Card,250,Pro10,Katie Stanton,Male
45328,Carol,Young,Philadelphia,21186,Cash,119,Pro07,Susan Dean,Male
45394,Brandy,Myers,Los Angeles,38781,Cash,93,Pro08,Katie Stanton,Male
45311,Anthony,Kirk,Phoenix,28525,Cash,434,Pro01,Susan Dean,Male
45390,Tracy,Skinner,Dallas,20304,Debit Card,466,Pro05,April Watkins,Male
45422,Holly,Fields,Phoenix,22950,Mobile Payment,135,Pro06,April Watkins,Male
45435,Brian,West,San Antonio,26531,Cash,213,Pro05,Elizabeth Guerrero,Male
45330,Caleb,Martinez,Dallas,23622,Credit Card,138,Pro10,Tracy Lee,Male
45396,Robert,Reyes,New York,35948,Credit Card,21,Pro04,Sara Robertson,Male
45330,Elizabeth,Bryant,New York,26917,Debit Card,424,Pro01,Katie Stanton,Female
45322,Katherine,Abbott,Phoenix,37651,Credit Card,134,Pro03,Susan Dean,Male
45323,Michelle,Palmer,Dallas,22472,Credit Card,390,Pro03,Katie Stanton,Male
45379,Rose,Jenkins,Dallas,36532,Mobile Payment,356,Pro07,Susan Dean,Male
45295,Timothy,Roberts,Phoenix,18218,Debit Card,46,Pro04,Susan Dean,Male
45460,Stephen,Knight,Los Angeles,37441,Debit Card,10,Pro02,Sara Robertson,Male
45295,Heidi,Doyle,San Diego,29596,Credit Card,26,Pro07,Katie Stanton,Male
45460,Peter,Ballard,San Antonio,22462,Debit Card,83,Pro05,Susan Dean,Male
45433,Amanda,Hughes,Chicago,31932,Debit Card,315,Pro01,Katie Stanton,Male
45429,Crystal,Cunningham,New York,33536,Mobile Payment,260,Pro01,Susan Dean,Male
45485,Amanda,Johnson,San Diego,24905,Mobile Payment,278,Pro02,April Watkins,Male
45341,Christina,Heath,Philadelphia,22832,Cash,496,Pro07,April Watkins,Male
45420,Erica,Willis,Los Angeles,21088,Mobile Payment,278,Pro07,Elizabeth Guerrero,Male
45446,Cheryl,Lang,San Jose,37803,Debit Card,113,Pro03,Tracy Lee,Male
45334,Brandon,Bradley,Dallas,28380,Debit Card,190,Pro07,Sara Robertson,Male
45374,Angela,May,Dallas,31726,Cash,496,Pro10,Katie Stanton,Male
45370,Micheal,Murillo,New York,17788,Credit Card,308,Pro10,Susan Dean,Male
45364,Diana,Collins,San Jose,20802,Cash,195,Pro06,Katie Stanton,Male
45486,Clinton,Ferguson,Los Angeles,29446,Cash,65,Pro09,Susan Dean,Male
45492,Daniel,Rios,Chicago,34853,Cash,78,Pro09,Susan Dean,Male
45465,Kenneth,Schmidt,Phoenix,33760,Mobile Payment,372,Pro05,Sara Robertson,Male
45359,Pamela,Shaw,San Diego,26865,Cash,455,Pro04,Katie Stanton,Male
45352,Andrew,Martin,Houston,16069,Cash,319,Pro01,Susan Dean,Male
45403,Steven,Browning,San Diego,27616,Debit Card,359,Pro06,Katie Stanton,Male
45311,Paul,Gilbert,Los Angeles,16533,Debit Card,45,Pro06,Susan Dean,Male
45467,Kenneth,Taylor,Los Angeles,26964,Cash,234,Pro10,April Watkins,Male
45416,Jessica,Rivera,Dallas,18737,Credit Card,127,Pro09,April Watkins,Male
